#Metacyc pathway and RXN mapping file
#Pathway	RXN
PWY-5101	ACETOOHBUTSYN-RXN
PWY-5101	DIHYDROXYMETVALDEHYDRAT-RXN
PWY-5101	RXN-7743
PWY-5101	RXN-7744
PWY-5108	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
PWY-5108	RXN-19503
PWY-5108	RXN-18448
PWY-3001	ASPARTATEKIN-RXN
PWY-3001	HOMOSERKIN-RXN
PWY-3001	RXN-15122
PWY-3001	THRESYN-RXN
PWY-3001	ASPAMINOTRANS-RXN
PWY-3001	HOMOSERDEHYDROG-RXN
PWY-5104	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
PWY-5104	PROPIONATE--COA-LIGASE-RXN
PWY-5104	RXN-16062
PWY-5104	ACETOOHBUTSYN-RXN
PWY-5104	DIHYDROXYMETVALDEHYDRAT-RXN
PWY-5104	2-OXOBUTYRATE-SYNTHASE-RXN
PWY-6289	RXN-10678
PWY-6289	RXN-10675
PWY-6289	RXN-19493
PWY-6289	RXN-10676
PWY-6289	RXN-10682
PWY-6289	RXN-10680
PWY-6289	RXN-10679
PWY-6289	DHSHIKIMATE-DEHYDRO-RXN
PWY-6289	RXN-10677
PWY-6289	RXN-10681
PWY0-1534	CYSTEINE-AMINOTRANSFERASE-RXN
PWY0-1534	RXN0-6945
PWY-7986	RXN-19438
PWY-7986	RXN-19496
PWY-7986	RXN-11115
PWY-7986	DHBAMPLIG-RXN
PWY-7986	RXN-19446
PWY-7986	RXN-19495
PWY-7986	RXN-19463
PWY-7986	RXN-19497
PWY-6376	RXN-10995
PWY-6376	LYSDECARBOX-RXN
PWY-6376	RXN-11001
PWY-6376	RXN-10999
PWY-6376	RXN-10996
PWY-7989	RXN-19515
PWY-7989	RXN-19516
PWY-7989	RXN-682
PWY-7989	RXN-19517
PWY-6381	RXN-10995
PWY-6381	LYSDECARBOX-RXN
PWY-6381	RXN-11013
PWY-6381	RXN-11014
PWY-6381	RXN-10996
PWY-7515	PYRROLINE-2-CARBOXYLATE-REDUCTASE-RXN
PWY-7515	TRANS-L-3-HYDROXYPROLINE-DEHYDRATASE-RXN
PWY-5159	RXN-8003
PWY-5159	3.5.4.22-RXN
PWY-5159	4-HYDROXYPROLINE-EPIMERASE-RXN
PWY-5159	25-DIOXOVALERATE-DEHYDROGENASE-RXN
PWY-8023	RXN-20005
PWY-8023	RXN-20004
PWY-8023	RXN-20006
PWY-6409	RXN-11126
PWY-6409	RXN-11128
PWY-6409	RXN-11129
PWY-6409	R101-RXN
PWY-6409	RXN-11127
ENTBACSYN-PWY	RXN0-6442
ENTBACSYN-PWY	DHBDEHYD-RXN
ENTBACSYN-PWY	RXN-15891
ENTBACSYN-PWY	DHBAMPLIG-RXN
ENTBACSYN-PWY	ENTF-RXN
ENTBACSYN-PWY	RXN-15889
ENTBACSYN-PWY	ENTDB-RXN
ENTBACSYN-PWY	ENTG-RXN
ENTBACSYN-PWY	RXN-15890
PWY-7984	RXN-19438
PWY-7984	RXN-19454
PWY-7984	RXN-9377
PWY-7984	DHBAMPLIG-RXN
PWY-7984	RXN-19487
PWY-7984	RXN-19446
PWY-7984	RXN-19471
PWY-7984	RXN-19488
PWY-7984	RXN-19489
PWY-6375	RXN-10995
PWY-6375	LYSDECARBOX-RXN
PWY-6375	RXN-10998
PWY-6375	RXN-10997
PWY-6375	RXN-10996
PWY-7988	RXN-19512
PWY-7988	RXN-19514
PWY-7988	RXN-19507
PWY-7988	RXN-682
PWY-7988	4.1.1.86-RXN
PWY-7988	RXN-19506
PWY-7988	RXN-19511
PWY-7988	RXN-19505
PWY-7988	RXN-19510
PWY-7988	R101-RXN
PWY-7988	RXN-19509
PWY-6379	RXN-11006
PWY-6379	RXN-11010
PWY-6379	RXN-11007
PWY-6379	RXN-11011
PWY-6379	RXN-11012
PWY-8008	RXN-18393
PWY-8008	RXN-19821
PWY-8008	RXN-18395
PWY-8008	RXN-19820
PWY-8008	RXN-19819
PWY-8008	RXN-19823
PWY-8008	RXN-19822
PWY-6408	RXN-11118
PWY-6408	RXN-11115
PWY-6408	RXN-11117
PWY-6408	RXN-19469
PWY-6408	RXN-11123
PWY-6408	RXN-11120
PWY-6408	RXN-11125
PWY-6408	RXN-11122
PWY-6408	RXN-11113
PWY-6408	RXN-11121
PWY-6408	RXN-19466
AEROBACTINSYN-PWY	1.14.13.59-RXN
AEROBACTINSYN-PWY	RXN-13054
AEROBACTINSYN-PWY	RXN-13056
AEROBACTINSYN-PWY	N6-HYDROXYLYSINE-O-ACETYLTRANSFERASE-RXN
PWY-5429	RXN-8579
PWY-5429	RXN-8582
PWY-5429	RXN-8581
PWY-7431	RXN-15198
PWY-7431	OCTOPAMINE-DEHYDRATASE-RXN
PWY-7431	RXN6666-4
PWY-7431	RXN6666-5
PWY-7431	RXN-8505
PWY-7431	RXN-5821
PWY-7431	SYNEPHRINE-DEHYDRATASE-RXN
PWY-7431	1.2.1.53-RXN
PWY-7941	RXN-19134
PWY-7941	RXN-19136
PWY-5428	RXN-8583
PWY-5428	RXN-8580
PWY-5428	RXN-8578
PWY-7938	RXN-19134
PWY-7938	RXN1F-150
PWY-7938	RXN-19133
PWY-7938	RXN1F-151
PWY-3621	CARNITINE-3-DEHYDROGENASE-RXN
PWY-3621	1.14.11.1-RXN
PWY-7085	ACETALD-DEHYDROG-RXN
PWY-7085	RXN-13591
PWY-7085	RXN-13590
PWY-7085	RXN-13594
PWY-7085	RXN-13593
PWY-7085	RXN-13592
PWY-7983	RXN-9377
PWY-7983	RXN-19438
PWY-7983	RXN-19437
PWY-7983	RXN-19435
PWY-7983	RXN-19436
PWY-7983	RXN-19434
PWY-7983	RXN-19433
PWY-7983	RXN-11113
PWY-7983	RXN-19439
PWY0-1477	PHOSACETYLTRANS-RXN
PWY0-1477	ETHAMLY-RXN
PWY0-1477	ACETALD-DEHYDROG-RXN
PWY0-1477	ALCOHOL-DEHYDROG-RXN
PWY0-1477	ACETATEKIN-RXN
GLCMANNANAUT-PWY	NANE-RXN
GLCMANNANAUT-PWY	NAG6PDEACET-RXN
GLCMANNANAUT-PWY	GLUCOSAMINE-6-P-DEAMIN-RXN
P561-PWY	R502-RXN
P561-PWY	R501-RXN
P561-PWY	RXN-15941
PWY-6374	DHBDEHYD-RXN
PWY-6374	RXN-10989
PWY-6374	DHBAMPLIG-RXN
PWY-6374	RXN-10992
PWY-6374	RXN-10990
PWY-6374	RXN-10993
PWY-6374	RXN-10991
PWY-6071	PHENDEHYD-RXN
PWY-6071	RXN-10819
PWY-6772	RXN-12274
PWY-6772	RXN-12275
PWY-7987	RXN-16905
PWY-7987	RXN-19498
PWY-7987	DHBAMPLIG-RXN
PWY-7987	ENTF-RXN
PWY-7987	RXN-19499
PWY-7987	RXN-19502
PWY-7987	RXN-19501
PWY-7987	RXN-19446
