	copy_number
Shewanella_denitrificans	8
Polaromonas_sp._JS666	1
Nitrobacter_hamburgensis	1
Psychrobacter_cryohalolentis	4.5
Mycobacterium_ulcerans	1
Leptospira_borgpetersenii	2
Sphingopyxis_alaskensis	1
Candidatus_Koribacter_versatilis	1
Arcobacter_butzleri	5
Roseobacter_denitrificans	1
Ruegeria_sp._TM1040	5
Clostridium_novyi	10.5
Cytophaga_hutchinsonii	3
Rubrobacter_xylanophilus	1
Streptococcus_sanguinis	4
Pseudoalteromonas_atlantica	6.5
Chelativorans_sp._BNC1	2
Trichodesmium_erythraeum	2
Granulibacter_bethesdensis	3
Rickettsia_canadensis	1
Oenococcus_oeni	2
Lactobacillus_delbrueckii	8.92
Lactobacillus_gasseri	4.8
Leuconostoc_mesenteroides	3.95
Levilactobacillus_brevis	5
Pediococcus_pentosaceus	5
Lacticaseibacillus_paracasei	5
Rhodococcus_jostii	4
Synechococcus_sp._CC9311	2
Shewanella_sp._MR-7	9
Shewanella_sp._MR-4	9
Shewanella_frigidimarina	9
Syntrophomonas_wolfei	3
Maricaulis_maris	2
Nitrosomonas_eutropha	1
Alkalilimnicola_ehrlichii	2
Aeromonas_hydrophila	10
Magnetococcus_marinus	3
Shewanella_piezotolerans	8
Candidatus_Solibacter_usitatus	2
Paenarthrobacter_aurescens	6
Methanothrix_thermoacetophila	2
Syntrophobacter_fumaroxidans	2
Acidothermus_cellulolyticus	1
Pelobacter_propionicus	4
Candidatus_Ruthia_magnifica	1
Chlorobium_phaeobacteroides	2
Hyperthermus_butylicus	1
Bradyrhizobium_sp._BTAi1	2
Shewanella_sp._W3-18-1	8
Pyrobaculum_islandicum	1
Thermofilum_pendens	1
Shewanella_amazonensis	8
Nocardioides_sp._JS614	2
Psychromonas_ingrahamii	10
Mycolicibacterium_vanbaalenii	2
Acidovorax_citrulli	3
Dichelobacter_nodosus	3
Marinobacter_hydrocarbonoclasticus	3
Lactobacillus_helveticus	4.24
Mycobacterium_sp._KMS	2
Bartonella_bacilliformis	2
Desulfovibrio_vulgaris	4.75
Polaromonas_naphthalenivorans	2
Acidovorax_sp._JS42	3
Verminephrobacter_eiseniae	3
Halorhodospira_halophila	2
Methylibium_petroleiphilum	1
Geobacillus_thermodenitrificans	10
Methanocorpusculum_labreanum	3
Bacillus_velezensis	8.77
Pyrobaculum_calidifontis	1
Methanoculleus_marisnigri	1
Shewanella_baltica	10
Hungateiclostridium_thermocellum	4
Actinobacillus_pleuropneumoniae	6
Staphylothermus_marinus	1
Rhodobacter_sphaeroides	3.44
Shewanella_loihica	8
Chlorobium_phaeovibrioides	2
Desulfotomaculum_reducens	8
Rhodospirillum_centenum	4
Agrobacterium_vitis	4
Enterobacter_sp._638	7
Polynucleobacter_asymbioticus	1
Mycolicibacterium_gilvum	2
Pyrobaculum_arsenaticum	1
Salinispora_tropica	3
Methanobrevibacter_smithii	2
Caldicellulosiruptor_saccharolyticus	3
Pseudomonas_mendocina	4
Shewanella_putrefaciens	8.29
Metallosphaera_sedula	1
Rickettsia_massiliae	1
Flavobacterium_johnsoniae	6
Roseiflexus_sp._RS-1	2
Acidiphilium_cryptum	2
Geobacter_uraniireducens	2
Sphingomonas_wittichii	2
Thermotoga_petrophila	1
Brucella_ovis	3
Psychrobacter_sp._PRwf-1	5
Thermosipho_melanesiensis	4
Yersinia_pseudotuberculosis	7
Clostridium_beijerinckii	14.83
Alkaliphilus_metalliredigens	10
Streptococcus_gordonii	3.91
Clostridium_botulinum	8.68
Sinorhizobium_medicae	3
Methanococcus_vannielii	4
Methanococcus_aeolicus	2
Actinobacillus_succinogenes	6
Phenylobacterium_zucineum	1
Marinomonas_sp._MWYL1	8
Kineococcus_radiotolerans	4
Ochrobactrum_anthropi	4
Bacillus_cytotoxicus	12.91
Rickettsia_rickettsii	1
Campylobacter_curvus	3
Anaeromyxobacter_sp._Fw109-5	2
Fervidobacterium_nodosum	2
Parvibaculum_lavamentivorans	1
Campylobacter_hominis	3
Methanoregula_boonei	1
Xanthobacter_autotrophicus	2
Cronobacter_sakazakii	7
Vibrio_campbellii	11.6
Campylobacter_concisus	3
Roseiflexus_castenholzii	2
Crocosphaera_subtropica	2
Pseudothermotoga_lettingae	1
Bacillus_pumilus	7.91
